@relation ZOOKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
1,874,919,11,2,25,8,2,25,8,2,952,216,86,Yes
1,160,36,5,3,25,19,5,25,19,5,151,84,30,Yes
1,486,11,4,3,5,4,1,5,4,1,113,109,28,Yes
1,247,18,4,2,10,8,2,10,8,2,148,84,37,Yes
1,61,2,2,0,1,1,0,1,1,0,84,84,42,No
1,116,0,1,0,0,0,0,0,0,0,0,0,0,No
1,306,32,3,1,0,0,0,-1,0,0,88,72,29,Yes
1,461,73,12,1,24,15,2,18,13,1,1014,227,84,Yes
1,95,133,5,0,19,17,3,19,17,3,692,330,138,Yes
1,46,11,3,0,2,2,0,2,2,0,343,216,114,No
1,899,956,8,0,4,2,0,-7,2,0,812,266,101,Yes
1,190,225,7,1,21,15,3,14,15,2,820,219,117,Yes
1,27,21,4,0,18,18,4,18,18,4,713,275,178,Yes
1,627,324,11,2,179,106,16,156,106,14,893,270,81,Yes
1,379,425,9,0,17,9,1,14,6,1,825,263,91,Yes
1,396,438,9,0,9,2,1,6,2,0,892,223,99,Yes
1,108,24,7,0,12,6,1,11,6,1,832,232,118,Yes
1,86,11,3,0,2,2,0,2,2,0,343,216,114,No
1,35,18,2,1,18,18,9,18,18,9,81,81,40,Yes
1,178,48,9,0,16,7,1,9,7,1,900,232,100,Yes
1,634,187,9,0,85,46,9,65,46,7,875,232,97,Yes
1,195,37,7,1,16,12,2,16,12,2,817,272,116,Yes
1,89,24,6,0,6,2,1,5,2,0,801,275,133,Yes
1,77,37,5,0,11,9,2,5,8,1,763,232,152,Yes
1,565,245,6,1,41,34,6,30,24,5,797,272,132,Yes
1,591,1187,14,6,266,154,19,60,97,4,980,223,70,Yes
1,223,533,9,1,156,125,17,152,125,16,981,216,109,Yes
1,116,15,4,0,7,5,1,5,5,1,304,163,76,Yes
1,82,39,5,0,5,3,1,5,3,1,632,270,126,No
1,55,12,3,0,2,2,0,2,2,0,343,216,114,No
1,70,32,5,0,24,19,4,24,19,4,767,286,153,No
1,198,39,7,0,12,4,1,11,4,1,895,270,127,Yes
1,38,9,3,0,2,2,0,2,2,0,343,216,114,No
1,79,16,5,0,3,2,0,3,2,0,696,280,139,Yes
1,68,42,5,0,2,2,0,2,2,0,731,369,146,No
1,141,13,4,0,5,3,1,5,3,1,618,275,154,No
1,59,10,3,0,2,2,0,2,2,0,343,216,114,No
1,220,25,5,0,4,2,0,4,2,0,658,270,131,No
1,145,494,9,1,37,17,4,19,17,2,962,263,106,Yes
1,120,12,4,0,2,2,0,2,2,0,613,270,153,No
1,130,0,1,0,0,0,0,0,0,0,0,0,0,No
1,583,0,1,0,0,0,0,0,0,0,0,0,0,No
1,182,0,1,0,0,0,0,0,0,0,0,0,0,No
1,34,0,1,0,0,0,0,0,0,0,0,0,0,No
1,324,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,41,49,4,0,2,2,0,2,2,0,362,216,90,No
1,106,0,1,0,0,0,0,0,0,0,0,0,0,No
1,114,23,5,0,5,3,1,5,3,1,804,321,160,No
1,611,790,12,0,192,68,16,96,46,8,1023,216,85,Yes
1,87,20,3,0,14,8,4,12,6,4,297,163,99,Yes
1,93,103,5,0,2,2,0,2,2,0,625,263,125,No
1,313,347,5,0,56,54,11,50,48,10,585,223,117,No
1,121,59,6,0,12,10,2,11,9,1,667,216,111,Yes
1,79,11,3,0,2,2,0,2,2,0,343,216,114,No
1,82,10,2,0,8,8,4,8,8,4,31,31,15,No
1,108,74,6,0,47,45,7,45,45,7,708,280,118,No
1,113,19,6,0,4,2,0,-2,2,0,829,237,138,No
1,1034,771,19,5,241,85,12,-61,60,-3,1060,216,55,Yes
1,233,29,6,0,15,9,2,5,6,0,313,128,52,No
2,30,9,3,0,2,2,0,2,2,0,286,159,95,No
2,176,9,4,0,2,2,0,2,2,0,486,200,121,No
2,113,16,5,0,3,2,0,3,2,0,601,270,120,No
2,69,8,3,0,2,2,0,2,2,0,286,159,95,No
2,89,20,5,0,3,2,0,-1,2,0,693,275,138,No
2,47,8,3,0,2,2,0,2,2,0,286,159,95,No
2,29,8,3,0,2,2,0,2,2,0,286,159,95,No
2,27,8,3,0,2,2,0,2,2,0,286,159,95,No
2,30,8,3,0,2,2,0,2,2,0,286,159,95,No
2,44,9,3,0,2,2,0,2,2,0,286,159,95,No
2,35,8,3,0,2,2,0,2,2,0,286,159,95,No
2,27,8,3,0,2,2,0,2,2,0,286,159,95,No
2,54,15,4,0,7,5,1,7,5,1,549,263,137,No
2,35,9,3,0,2,2,0,2,2,0,286,159,95,No
2,45,10,3,0,2,2,0,2,2,0,286,159,95,No
2,34,8,3,0,2,2,0,2,2,0,286,159,95,No
2,46,10,3,0,2,2,0,2,2,0,286,159,95,No
2,34,8,3,0,2,2,0,2,2,0,286,159,95,No
2,39,9,3,0,2,2,0,2,2,0,286,159,95,No
2,34,8,3,0,2,2,0,2,2,0,286,159,95,No
2,118,36,4,0,23,21,5,22,20,5,549,263,137,No
2,75,8,3,0,2,2,0,2,2,0,286,159,95,No
2,37,8,3,0,2,2,0,2,2,0,286,159,95,No
2,126,68,6,0,13,8,2,2,2,0,750,263,125,No
2,87,17,4,0,9,7,2,8,7,2,335,134,83,No
2,116,19,4,0,4,2,1,4,2,1,652,366,163,No
2,86,11,3,0,2,2,0,2,2,0,286,159,95,No
2,57,35,6,0,12,6,2,11,6,1,750,263,125,No
2,226,110,7,0,20,8,2,13,8,1,765,263,109,No
2,138,47,5,0,15,10,3,1,10,0,342,132,68,No
2,79,11,3,0,2,2,0,2,2,0,286,159,95,No
2,56,15,4,0,3,2,0,2,2,0,620,334,155,No
2,83,11,3,0,2,2,0,2,2,0,286,159,95,No
2,56,15,4,0,3,2,0,2,2,0,620,334,155,No
2,116,73,7,0,22,11,3,18,9,2,765,263,109,No
2,39,9,3,0,2,2,0,2,2,0,286,159,95,No
2,54,10,3,0,2,2,0,2,2,0,286,159,95,No
2,31,8,3,0,2,2,0,2,2,0,286,159,95,No
2,35,8,3,0,2,2,0,2,2,0,286,159,95,No
2,96,8,3,0,2,2,0,2,2,0,286,159,95,No
2,70,11,3,0,2,2,0,2,2,0,286,159,95,No
2,39,9,3,0,2,2,0,2,2,0,286,159,95,No
2,62,12,3,0,2,2,0,2,2,0,286,159,95,No
2,77,11,3,0,2,2,0,2,2,0,286,159,95,No
2,133,1,3,0,0,0,0,0,0,0,391,216,130,No
2,150,1,3,0,0,0,0,0,0,0,391,216,130,No
2,89,8,3,0,4,4,1,4,4,1,530,314,176,No
2,84,8,4,0,4,4,1,4,4,1,556,216,139,No
2,211,1,3,0,0,0,0,0,0,0,391,216,130,No
2,526,48,4,0,23,23,5,23,23,5,556,216,139,No
2,89,1,3,0,0,0,0,0,0,0,391,216,130,No
2,834,2,3,0,0,0,0,0,0,0,391,216,130,No
2,458,1,3,0,0,0,0,0,0,0,391,216,130,No
2,100,1,3,0,0,0,0,0,0,0,391,216,130,No
2,152,1,3,0,0,0,0,0,0,0,391,216,130,No
2,63,6,4,0,3,3,0,3,3,0,556,216,139,No
2,44,1,3,0,0,0,0,0,0,0,391,216,130,No
2,108,7,3,0,0,0,0,0,0,0,391,216,130,No
2,36,1,3,0,0,0,0,0,0,0,391,216,130,No
2,56,1,3,0,0,0,0,0,0,0,391,216,130,No
2,42,1,3,0,0,0,0,0,0,0,391,216,130,No
2,100,1,3,0,0,0,0,0,0,0,391,216,130,No
2,76,7,4,0,2,2,0,2,2,0,556,216,139,No
2,41,1,3,0,0,0,0,0,0,0,391,216,130,No
2,36,1,3,0,0,0,0,0,0,0,391,216,130,No
2,40,1,3,0,0,0,0,0,0,0,391,216,130,No
2,102,2,3,0,0,0,0,0,0,0,391,216,130,No
2,509,4,4,0,0,0,0,0,0,0,556,216,139,No
2,48,1,3,0,0,0,0,0,0,0,391,216,130,No
2,143,1,3,0,0,0,0,0,0,0,391,216,130,No
2,107,1,3,0,0,0,0,0,0,0,391,216,130,No
2,211,1,3,0,0,0,0,0,0,0,391,216,130,No
2,152,4,4,0,3,3,0,3,3,0,690,299,172,No
2,40,1,3,0,0,0,0,0,0,0,391,216,130,No
2,46,1,3,0,0,0,0,0,0,0,391,216,130,No
2,49,1,3,0,0,0,0,0,0,0,391,216,130,No
2,34,1,3,0,0,0,0,0,0,0,391,216,130,No
2,99,1,3,0,0,0,0,0,0,0,391,216,130,No
2,118,1,3,0,0,0,0,0,0,0,391,216,130,No
2,279,5,4,0,2,2,0,2,2,0,614,223,153,Yes
2,252,1,3,0,0,0,0,0,0,0,391,216,130,No
2,253,1,3,0,0,0,0,0,0,0,391,216,130,No
2,53,11,3,0,2,2,0,2,2,0,343,216,114,No
2,1046,562,18,1,289,73,16,222,58,12,1087,216,60,Yes
2,40,6,3,0,1,1,0,-2,1,0,76,64,25,No
2,90,0,1,0,0,0,0,0,0,0,0,0,0,No
2,337,9,4,0,2,2,0,2,2,0,416,216,104,No
2,82,10,3,0,2,2,0,2,2,0,343,216,114,No
2,128,139,4,0,2,2,0,2,2,0,362,216,90,No
2,68,12,3,0,2,2,0,2,2,0,343,216,114,No
2,116,12,3,0,2,2,0,2,2,0,343,216,114,No
2,79,90,5,0,11,9,2,10,8,2,696,334,139,No
2,73,9,3,0,2,2,0,2,2,0,343,216,114,No
2,126,87,10,0,47,25,4,47,25,4,976,231,97,No
2,799,314,14,0,247,132,17,240,132,17,1068,216,76,Yes
2,266,63,9,0,23,12,2,21,12,2,983,232,109,No
2,73,14,4,0,2,2,0,2,2,0,613,270,153,No
2,874,919,11,1,25,8,2,25,8,2,952,216,86,Yes
2,160,36,5,1,25,19,5,25,19,5,151,84,30,Yes
2,486,11,4,0,5,4,1,5,4,1,113,109,28,Yes
2,247,18,4,1,10,8,2,10,8,2,148,84,37,Yes
2,61,2,2,0,1,1,0,1,1,0,84,84,42,No
2,116,0,1,0,0,0,0,0,0,0,0,0,0,No
2,306,32,3,0,0,0,0,-1,0,0,88,72,29,Yes
2,461,73,12,0,24,15,2,18,13,1,1014,227,84,Yes
2,95,133,5,0,19,17,3,19,17,3,692,330,138,Yes
2,46,11,3,0,2,2,0,2,2,0,343,216,114,No
2,899,956,8,0,4,2,0,-7,2,0,812,266,101,No
2,190,225,7,0,21,15,3,14,15,2,820,219,117,Yes
2,27,21,4,0,18,18,4,18,18,4,713,275,178,No
2,627,324,11,0,179,106,16,156,106,14,893,270,81,Yes
2,379,425,9,0,17,9,1,14,6,1,825,263,91,No
2,396,438,9,0,9,2,1,6,2,0,892,223,99,No
2,108,24,7,0,12,6,1,11,6,1,832,232,118,No
2,86,11,3,0,2,2,0,2,2,0,343,216,114,No
2,35,18,2,0,18,18,9,18,18,9,81,81,40,No
2,178,48,9,0,16,7,1,9,7,1,900,232,100,No
2,634,187,9,0,85,46,9,65,46,7,875,232,97,No
2,195,37,7,0,16,12,2,16,12,2,817,272,116,Yes
2,89,24,6,0,6,2,1,5,2,0,801,275,133,No
2,77,37,5,0,11,9,2,5,8,1,763,232,152,No
2,565,245,6,0,41,34,6,30,24,5,797,272,132,Yes
2,591,1187,14,4,266,154,19,60,97,4,980,223,70,Yes
