Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,NOSELECTION,NOSENSITIVE,10.0,14.0,122.0,10.0,0.4166666666666667,0.5,0.8672794117647059,0.36585365853658536,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,NOSELECTION,THRESHOLD,10.0,16.0,120.0,10.0,0.38461538461538464,0.5,0.6911764705882353,0.3389830508474578,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,NOSELECTION,LEARNING,15.0,27.0,109.0,5.0,0.35714285714285715,0.75,0.856985294117647,0.37537537537537524,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,10.0,16.0,120.0,10.0,0.38461538461538464,0.5,0.8610294117647059,0.3389830508474578,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,THRESHOLD,10.0,17.0,119.0,10.0,0.37037037037037035,0.5,0.6875,0.32629558541266784,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,LEARNING,18.0,34.0,102.0,2.0,0.34615384615384615,0.9,0.865625,0.38636363636363646,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,NAIVEBAYES,SMOTE,NOSELECTION,NOSENSITIVE,12.0,16.0,120.0,8.0,0.42857142857142855,0.6,0.86875,0.4120603015075376,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,NAIVEBAYES,SMOTE,NOSELECTION,THRESHOLD,12.0,18.0,118.0,8.0,0.4,0.6,0.7338235294117647,0.3854545454545457,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,NAIVEBAYES,SMOTE,NOSELECTION,LEARNING,16.0,38.0,98.0,4.0,0.2962962962962963,0.8,0.8066176470588236,0.30179028132992314,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,NAIVEBAYES,NOBALANCING,BESTFIRST,NOSENSITIVE,11.0,18.0,118.0,9.0,0.3793103448275862,0.55,0.8602941176470589,0.35040098704503375,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,NAIVEBAYES,NOBALANCING,BESTFIRST,THRESHOLD,11.0,20.0,116.0,9.0,0.3548387096774194,0.55,0.7014705882352941,0.3263847528290649,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,NAIVEBAYES,NOBALANCING,BESTFIRST,LEARNING,11.0,20.0,116.0,9.0,0.3548387096774194,0.55,0.8602941176470589,0.3263847528290649,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,BESTFIRST,NOSENSITIVE,10.0,16.0,120.0,10.0,0.38461538461538464,0.5,0.8647058823529412,0.3389830508474578,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,BESTFIRST,THRESHOLD,12.0,21.0,115.0,8.0,0.36363636363636365,0.6,0.7227941176470588,0.3488773747841104,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,NAIVEBAYES,OVERSAMPLING,BESTFIRST,LEARNING,10.0,17.0,119.0,10.0,0.37037037037037035,0.5,0.8707720588235294,0.32629558541266784,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,BESTFIRST,NOSENSITIVE,11.0,16.0,120.0,9.0,0.4074074074074074,0.55,0.8636029411764706,0.3761996161228408,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,BESTFIRST,THRESHOLD,12.0,24.0,112.0,8.0,0.3333333333333333,0.6,0.711764705882353,0.3157894736842103,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,NAIVEBAYES,UNDERSAMPLING,BESTFIRST,LEARNING,19.0,39.0,97.0,1.0,0.3275862068965517,0.95,0.8783088235294118,0.3663688058489034,
