@relation BOOKKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
1,50,0,1,0,0,0,0,0,0,0,0,0,0,No
1,51,0,1,0,0,0,0,0,0,0,0,0,0,No
1,99,3,2,0,1,1,0,1,1,0,316,316,158,No
1,139,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,44,0,1,0,0,0,0,0,0,0,0,0,0,No
1,43,0,1,0,0,0,0,0,0,0,0,0,0,No
1,57,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,163,1,2,0,0,0,0,0,0,0,271,271,135,Yes
1,6368,10617,2,0,4762,4762,2381,4734,4734,2367,193,193,96,Yes
1,154,2,2,0,0,0,0,0,0,0,271,271,135,No
1,44,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,42,1,2,0,0,0,0,0,0,0,271,271,135,No
1,106,55,3,0,5,4,1,5,4,1,421,271,140,Yes
1,106,45,5,0,2,1,0,2,1,0,538,271,107,Yes
1,93,38,4,0,4,3,1,4,3,1,458,271,114,Yes
1,102,51,3,0,1,1,0,1,1,0,421,271,140,No
1,46,0,1,0,0,0,0,0,0,0,0,0,0,No
1,290,1,2,0,0,0,0,0,0,0,271,271,135,Yes
1,33,4,2,0,1,1,0,1,1,0,316,316,158,Yes
1,112,0,1,0,0,0,0,0,0,0,0,0,0,No
1,36,1,2,0,0,0,0,0,0,0,271,271,135,No
1,82,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,28,0,1,0,0,0,0,0,0,0,0,0,0,No
1,29,0,1,0,0,0,0,0,0,0,0,0,0,No
1,30,1,2,1,0,0,0,0,0,0,271,271,135,Yes
1,567,39,4,2,5,4,1,5,4,1,488,171,122,Yes
1,65,16,2,0,0,0,0,0,0,0,271,271,135,No
1,30,1,2,0,0,0,0,0,0,0,271,271,135,No
1,65,1,2,0,0,0,0,0,0,0,271,271,135,No
1,38,3,2,0,0,0,0,0,0,0,271,271,135,No
1,69,11,2,0,0,0,0,0,0,0,271,271,135,Yes
1,155,12,3,0,1,1,0,1,1,0,421,271,140,Yes
1,73,1,2,0,0,0,0,0,0,0,271,271,135,Yes
1,386,36,6,1,21,14,3,21,14,3,602,171,100,Yes
1,77,2,2,0,0,0,0,0,0,0,271,271,135,No
1,160,5,3,0,1,1,0,1,1,0,421,271,140,No
1,738,150,3,0,1,1,0,1,1,0,421,271,140,Yes
1,75,2,2,0,0,0,0,0,0,0,271,271,135,No
1,95,4,3,0,1,1,0,1,1,0,421,271,140,No
1,23,0,1,0,0,0,0,0,0,0,0,0,0,No
1,428,13,3,0,1,1,0,1,1,0,421,271,140,Yes
1,63,0,1,0,0,0,0,0,0,0,0,0,0,No
1,92,5,2,0,0,0,0,0,0,0,271,271,135,No
1,28,1,2,0,0,0,0,0,0,0,271,271,135,No
1,59,1,2,0,0,0,0,0,0,0,271,271,135,No
1,78,2,2,0,0,0,0,0,0,0,271,271,135,No
1,705,39,3,1,1,1,0,1,1,0,421,271,140,Yes
1,64,4,2,0,0,0,0,0,0,0,271,271,135,No
1,38,0,1,0,0,0,0,0,0,0,0,0,0,No
