Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,NAIVEBAYES,NOBALANCING,NOSELECTION,LEARNING,93.0,43.0,425.0,99.0,0.6838235294117647,0.484375,0.7457932692307693,0.4294272355347749,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,NAIVEBAYES,OVERSAMPLING,NOSELECTION,NOSENSITIVE,33.0,18.0,138.0,31.0,0.6470588235294118,0.515625,0.8005308493589743,0.42574046452162784,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,NAIVEBAYES,OVERSAMPLING,NOSELECTION,THRESHOLD,68.0,37.0,275.0,60.0,0.6476190476190476,0.53125,0.7380183293269231,0.43574828133262816,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,NAIVEBAYES,OVERSAMPLING,NOSELECTION,LEARNING,103.0,56.0,412.0,89.0,0.6477987421383647,0.5364583333333334,0.7469117254273504,0.4390518393472602,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,29.0,12.0,144.0,35.0,0.7073170731707317,0.453125,0.8138521634615384,0.4207931884382703,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,THRESHOLD,61.0,26.0,286.0,67.0,0.7011494252873564,0.4765625,0.7343875200320513,0.43424399955757115,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,NAIVEBAYES,UNDERSAMPLING,NOSELECTION,LEARNING,93.0,40.0,428.0,99.0,0.6992481203007519,0.484375,0.7503338675213675,0.43865188339819383,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,NAIVEBAYES,SMOTE,NOSELECTION,NOSENSITIVE,33.0,13.0,143.0,31.0,0.717391304347826,0.515625,0.8170072115384616,0.4713848842289211,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,NAIVEBAYES,SMOTE,NOSELECTION,THRESHOLD,67.0,30.0,282.0,61.0,0.6907216494845361,0.5234375,0.7418619791666666,0.4601445367274297,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,NAIVEBAYES,SMOTE,NOSELECTION,LEARNING,101.0,47.0,421.0,91.0,0.6824324324324325,0.5260416666666666,0.757133636039886,0.45645946720137487,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,NAIVEBAYES,NOBALANCING,BESTFIRST,NOSENSITIVE,35.0,11.0,145.0,29.0,0.7608695652173914,0.546875,0.7522536057692307,0.5194408038444738,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,NAIVEBAYES,NOBALANCING,BESTFIRST,THRESHOLD,72.0,22.0,290.0,56.0,0.7659574468085106,0.5625,0.7554336939102564,0.5337970006520323,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,NAIVEBAYES,NOBALANCING,BESTFIRST,LEARNING,109.0,33.0,435.0,83.0,0.7676056338028169,0.5677083333333334,0.7588474893162394,0.5385505569217416,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,NAIVEBAYES,OVERSAMPLING,BESTFIRST,NOSENSITIVE,36.0,16.0,140.0,28.0,0.6923076923076923,0.5625,0.7919170673076923,0.48685326547921975,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,NAIVEBAYES,OVERSAMPLING,BESTFIRST,THRESHOLD,81.0,53.0,259.0,47.0,0.6044776119402985,0.6328125,0.7553836137820513,0.45662912467891714,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,NAIVEBAYES,OVERSAMPLING,BESTFIRST,LEARNING,126.0,89.0,379.0,66.0,0.586046511627907,0.65625,0.7591368411680912,0.4501773621412447,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,NAIVEBAYES,UNDERSAMPLING,BESTFIRST,NOSENSITIVE,34.0,9.0,147.0,30.0,0.7906976744186046,0.53125,0.7595152243589743,0.524284763805722,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,NAIVEBAYES,UNDERSAMPLING,BESTFIRST,THRESHOLD,70.0,18.0,294.0,58.0,0.7954545454545454,0.546875,0.7557592147435898,0.5388349514563107,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,NAIVEBAYES,UNDERSAMPLING,BESTFIRST,LEARNING,106.0,27.0,441.0,86.0,0.7969924812030075,0.5520833333333334,0.7599158653846154,0.5436522505323444,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,NAIVEBAYES,SMOTE,BESTFIRST,NOSENSITIVE,35.0,9.0,147.0,29.0,0.7954545454545454,0.546875,0.7631710737179487,0.5388349514563107,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,NAIVEBAYES,SMOTE,BESTFIRST,THRESHOLD,72.0,22.0,290.0,56.0,0.7659574468085106,0.5625,0.7546198918269231,0.5337970006520323,
