Version,File Name,LOC,LOC_touched,NR,NFix,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSize,Buggy
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\BookieClient.java,182,29,7,1,7,4,1,5,4,0,504,203,72,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\BookieProtocol.java,155,87,4,1,79,68,19,79,68,19,323,211,80,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\BookieServer.java,394,320,11,4,224,94,20,207,93,18,616,196,56,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\BookkeeperInternalCallbacks.java,133,82,3,0,75,75,25,75,75,25,403,211,134,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\NIOServerFactory.java,534,40,8,0,17,7,2,16,7,2,514,211,64,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\PerChannelBookieClient.java,604,132,9,5,52,14,5,43,14,4,524,203,58,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\proto\ServerStats.java,149,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\streaming\LedgerInputStream.java,175,11,3,0,1,1,0,1,1,0,361,211,120,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\streaming\LedgerOutputStream.java,149,11,3,0,1,1,0,1,1,0,361,211,120,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\tools\BookKeeperTools.java,93,748,6,0,6,2,1,-671,2,-111,441,197,73,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\LocalBookKeeper.java,235,270,6,3,66,37,11,62,37,10,497,211,82,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\Main.java,55,5,3,0,0,0,0,0,0,0,403,211,134,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\MathUtils.java,39,5,2,0,0,0,0,0,0,0,211,211,105,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\OrderedSafeExecutor.java,99,4,2,0,0,0,0,0,0,0,211,211,105,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\SafeRunnable.java,40,11,3,0,1,1,0,1,1,0,361,211,120,No
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\StringUtils.java,70,29,3,0,0,0,0,-25,0,-8,403,211,134,Yes
1,bookkeeper-server\src\main\java\org\apache\bookkeeper\util\ZkUtils.java,95,0,1,0,0,0,0,0,0,0,0,0,0,Yes
